id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,instrumentalness,liveness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,0.02,0.09
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,0.65,0.08
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,0.04,0.12
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,0.72,0.06
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,0.01,0.15
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,0.88,0.05
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,0.21,0.11
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,0.10,0.08
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,0.70,0.07
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,0.03,0.13
11,Moonlight Sonata,Ethereal Strings,classical,romantic,0.45,85,0.72,0.25,0.95,0.91,0.18
12,Island Breeze,Reggae Roots,reggae,relaxed,0.55,92,0.68,0.72,0.68,0.08,0.22
13,Thunder Rage,Iron Fist,metal,angry,0.94,170,0.25,0.44,0.08,0.05,0.14
14,Smooth Love,Soul Harmony,R&B,romantic,0.68,95,0.75,0.81,0.42,0.04,0.10
15,Bossa Dreams,Latin Hearts,bossa nova,dreamy,0.50,88,0.70,0.65,0.78,0.15,0.09
16,Back Roads,Country Tales,country,nostalgic,0.60,105,0.58,0.69,0.75,0.06,0.20
17,Digital Tension,Synth Pulse,electronic,tense,0.85,128,0.35,0.78,0.05,0.32,0.07
18,Deep Blues,Blues Traveler,blues,introspective,0.52,98,0.42,0.55,0.82,0.12,0.25
